id;placed_date;status;code;customer_id
1;2020-01-28T04:39:02;COMPLETED;Georgia calculate withdrawal;1
2;2020-01-27T15:35:32;COMPLETED;compress Steel out-of-the-box;2
3;2020-01-27T17:06:44;PENDING;Concrete;3
4;2020-01-28T06:32:39;CANCELLED;Investment Account;4
5;2020-01-27T17:49:29;PENDING;United States of America;5
6;2020-01-28T08:01:33;CANCELLED;IB Industrial Credit Card Account;6
7;2020-01-28T11:07:58;CANCELLED;Cotton Egyptian Pound;7
8;2020-01-27T20:04:02;COMPLETED;Home Loan Account;8
9;2020-01-28T04:58:18;COMPLETED;Human;9
10;2020-01-27T15:06:56;CANCELLED;payment;10
